#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Aug 28, 2022 - Sep 3, 2022"
#=================================================================


##############################################
# iTrade
##############################################
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE:nav-btn:Comptes,3,2,2
SB:fr:itrade:FAQ – Nous sommes là pour vous aider | Scotia iTRADE:nav-btn:Tarification,2,2,2
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits:nav-btn:Formation,2,2,2
SB:fr:itrade:Types de comptes de placement enregistrés | Scotia iTRADE:page top CTA:Renseignez-vous,2,2,2
SB:fr:itrade:Ouvrez un compte de placement REEE aujourd’hui | Scotia iTRADE:Ouvrez un compte,2,2,2


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,1118
Other,748
Mobile Phone,329
Tablet,41


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,1109,0.5067628494138864
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,309,0.1941747572815534
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,75,0.9066666666666666
SB:fr:itrade:Conditions d’utilisation de l’appli mobile,58,0.6551724137931034
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,39,0.358974358974359
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,36,0
SB:fr:itrade:Comment les actions sont-elles imposées au Canada? | Publication,32,0.875
SB:fr:itrade:Les actions sont-elles des actifs liquides? | Publication,29,1
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,25,0.32
SB:fr:itrade:Glossaire des termes de placement et de négociation les plus courants | Scotia iTRADE,23,1
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,22,0.7272727272727273


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,1118,1118,0.5098389982110912
Direct,419,416,0.47255369928400953
Natural Search,387,385,0.710594315245478
Referring Domains,270,303,0.3037037037037037
Session Refresh,34,34,0.38235294117647056
Paid Search,3,1,0.3333333333333333
Paid Social Networks,2,2,0.5
Other Campaigns,2,1,0
Social Networks,1,0,0


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,351
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,10
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:404 | Scotia iTRADE,6
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE,4
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Outil Planification des objectifs financiers | Scotia iTRADE,4
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Négociation de FNB sans commission au Canada | Scotia iTRADE,3
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,Exits,304
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,+14 more,20

Previous
Focus,Backstep 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,351
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Politique de confidentialité | Scotia iTRADE,7
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE,2
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,2
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:404 | Scotia iTRADE,1
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Calendrier des webinaires | Scotia iTRADE,1
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,Entries,334
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,+4 more,4


#=================================================================
# CTAs Clicked - EN
# Report suite: Scotiabank Global
"# Date: Aug 28, 2022 - Sep 3, 2022"
# Segments: iTrade Hits
#=================================================================


##############################################
# Start direct investing -  CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),14933,12791,8749
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,13350,11804,8015
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,651,572,419
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,213,184,175
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,137,122,115
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,116,116,115
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Pricing,112,111,103
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Education,118,97,85
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:footer:footer-link-cont,91,91,91
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,68,68,67
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn more,26,26,26


##############################################
# Getting started - CTAs
##############################################
,,Occurrences,Visits,Unique Visitors
Custom Link (c65),,30,21,21
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,,9,9,9
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,Custom Link (v65),9,9,9
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open an Account,9,9,9
