#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Oct 17, 2021 - Oct 23, 2021"
#=================================================================


##############################################
# iTrade
##############################################
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,5,4,4
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici:page top CTA:Demarrez,4,4,4
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:nav-btn:Comptes,4,4,4
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:page top CTA:Demarrez,4,4,4


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,1851
Mobile Phone,897
Other,804
Tablet,149
Gaming Console,1


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,1844,0.5536876355748374
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,401,0.12468827930174564
SB:fr:itrade:Le Navigateur de connaissances – En savoir plus sur les placements | Scotia iTRADE,378,0.9523809523809523
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,255,0.9137254901960784
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,98,0
phoenix:Login,53,0
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,50,0.98
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,39,0.3076923076923077
SB:fr:itrade:Comprendre le risque de placement | Publication,32,0.9375
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,28,0.9642857142857143
SB:fr:itrade:Acheter des titres en bourse – Ouvrez un compte aujourd’hui | Scotia iTRADE,27,0.7037037037037037


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,1851,1851,0.5548352242031335
Paid Social Networks,629,631,0.9379968203497615
Natural Search,513,485,0.5243664717348928
Referring Domains,370,563,0.15405405405405406
Direct,275,250,0.3527272727272727
Session Refresh,36,32,0.3055555555555556
Display,12,10,0.08333333333333333
Other Campaigns,12,10,0
Social Networks,3,3,0.6666666666666666
email,1,1,0


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,467
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,43
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,21
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Investissez avec Scotia iTRADE,16
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,8
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Types de comptes de placement et de négociation | Scotia iTRADE,5
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,Exits,332
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,+24 more,42

Previous
Focus,Backstep 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,467
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE,4
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,3
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,3
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,3
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE,2
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,Entries,438
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,+10 more,14


#=================================================================
# CTAs Clicked - EN
# Report suite: Scotiabank Global
"# Date: Oct 17, 2021 - Oct 23, 2021"
# Segments: iTrade Hits
#=================================================================


##############################################
# Start direct investing -  CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),30319,24830,11610
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,25695,21725,9063
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,1599,1442,1345
