Week,HTML,Unique Visitors
2020-05-03,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,30
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,21
2020-05-03,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,19
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,17
2020-05-03,https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,16
2020-05-03,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,15
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/complaint-handling-procedures.html,13
2020-05-03,https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,13
2020-05-03,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,12
2020-05-03,https://www.scotiawealthmanagement.com/intl/es/pagina-principal.html,10
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home.html,1548
2020-05-10,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,382
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,476
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,205
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,196
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,211
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre.html,158
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,149
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,149
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,142
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,142
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,141
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,222
2020-05-10,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,123
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,122
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client.html,113
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,89
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,88
2020-05-10,https://www.scotiawealthmanagement.com/intl/en/home.html,82
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,52
2020-05-10,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,36
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,31
2020-05-10,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,31
2020-05-10,https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,29
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,27
2020-05-10,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,23
2020-05-10,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,22
2020-05-10,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,20
2020-05-10,https://www.scotiawealthmanagement.com/intl/en/home/wealth-structuring-and-trust.html,20
2020-05-10,https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,14
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home.html,1571
2020-05-17,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,407
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,471
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,180
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,166
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,152
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,170
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,186
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,145
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre.html,140
2020-05-17,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,127
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,206
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,135
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client.html,119
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,112
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,92
2020-05-17,https://www.scotiawealthmanagement.com/intl/en/home.html,90
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,44
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,40
2020-05-17,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,36
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,34
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,33
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,28
2020-05-17,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,24
2020-05-17,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,23
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,21
2020-05-17,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,20
2020-05-17,https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,18
2020-05-17,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,16
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home.html,1877
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,516
2020-05-24,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,368
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,217
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,204
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,176
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,150
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,145
2020-05-24,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,139
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,139
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,138
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,190
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client.html,135
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,132
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre.html,120
2020-05-24,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,106
2020-05-24,https://www.scotiawealthmanagement.com/intl/en/home.html,95
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,63
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,52
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/foundations.html,48
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,43
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,30
2020-05-24,https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,28
2020-05-24,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,25
2020-05-24,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,24
2020-05-24,https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,21
2020-05-24,https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,21
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,21
2020-05-24,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,15
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home.html,1742
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,520
2020-05-31,https://www.scotiawealthmanagement.com/mx/es/pagina-principal.html,353
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,259
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,204
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/private-banking.html,176
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client.html,154
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/about-us.html,143
2020-05-31,https://www.scotiawealthmanagement.com/ca/fr/accueil.html,143
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre.html,134
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html,223
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/investment-management/private-investment-counsel.h,121
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html,135
2020-05-31,https://www.scotiawealthmanagement.com/intl/en/home.html,87
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,87
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/total-wealth-planning.html,87
2020-05-31,https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,85
2020-05-31,https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-de-inversian.html,76
