Week,Business Unit,Channel,Spend
2022-02-27,iTrade,SEM2,13929.15
2022-03-06,iTrade,SEM2,11823.86
2022-03-13,iTrade,SEM2,14806.09
2022-03-20,iTrade,SEM2,13342.32
2022-03-27,iTrade,SEM2,15051.25
2022-04-03,iTrade,SEM2,15435.69
2022-04-10,iTrade,SEM2,16362.57
2022-04-17,iTrade,SEM2,14798.77
2022-04-24,iTrade,SEM2,2176.88
2020-03-29,iTrade,Digital,9907.0
2020-04-05,iTrade,Digital,3695.58
2020-04-12,iTrade,Digital,4297.0
2020-04-19,iTrade,Digital,3872.0
2020-04-26,iTrade,Digital,3754.0
2020-05-03,iTrade,Digital,6087.0
2020-05-10,iTrade,Digital,11588.0
2020-05-17,iTrade,Digital,7490.25
2020-05-24,iTrade,Digital,9154.75
2020-05-31,iTrade,Digital,7289.0
2020-06-07,iTrade,Digital,7901.0
2020-06-14,iTrade,Digital,13079.0
2020-06-21,iTrade,Digital,15756.0
2020-06-28,iTrade,Digital,42915.21
2020-07-05,iTrade,Digital,5983.79
2020-07-12,iTrade,Digital,14761.0
2020-07-19,iTrade,Digital,18921.0
2020-07-26,iTrade,Digital,37039.0
2020-08-02,iTrade,Digital,33895.0
2020-08-09,iTrade,Digital,11791.0
2020-08-16,iTrade,Digital,38224.0
2020-08-23,iTrade,Digital,77520.0
2020-08-30,iTrade,Digital,38033.685
2020-09-06,iTrade,Digital,38033.685
2020-09-13,iTrade,Digital,38033.685
2020-09-20,iTrade,Digital,38033.685
2020-09-27,iTrade,Digital,49885.7425
2020-10-04,iTrade,Digital,49885.7425
2020-10-11,iTrade,Digital,49885.7425
2020-10-18,iTrade,Digital,49885.7425
2020-10-25,iTrade,Digital,9607.0
2020-11-01,iTrade,Digital,0.0
2020-11-08,iTrade,Digital,21814.0
2020-11-15,iTrade,Digital,0.0
2020-11-22,iTrade,Digital,16614.0
2020-11-29,iTrade,Digital,44921.0
2020-12-06,iTrade,Digital,46172.0
2020-12-13,iTrade,Digital,49331.0
2020-12-20,iTrade,Digital,0.0
2020-12-27,iTrade,Digital,0.0
2021-01-03,iTrade,Digital,57610.0
2021-01-10,iTrade,Digital,50072.0
2021-01-17,iTrade,Digital,38277.0
2021-01-24,iTrade,Digital,4802.0
2021-01-31,iTrade,Digital,4285.0
2021-02-07,iTrade,Digital,2906.0
2021-02-14,iTrade,Digital,2309.0
2021-02-21,iTrade,Digital,3418.0
2021-02-28,iTrade,Digital,0.0
2021-03-07,iTrade,Digital,4741.0
2021-03-14,iTrade,Digital,2173.0
2021-03-21,iTrade,Digital,2839.0
2021-03-28,iTrade,Digital,2230.0
2021-04-04,iTrade,Digital,1798.0
2021-04-11,iTrade,Digital,3644.0
2021-04-18,iTrade,Digital,8164.0
2021-04-25,iTrade,Digital,25089.0
2021-05-02,iTrade,Digital,23345.0
2021-05-09,iTrade,Digital,25970.0
2021-05-16,iTrade,Digital,29549.0
2021-05-23,iTrade,Digital,7719.0
2021-05-30,iTrade,Digital,6866.0
2021-06-06,iTrade,Digital,6605.0
2021-06-13,iTrade,Digital,7335.0
2021-06-20,iTrade,Digital,6813.0
2021-06-27,iTrade,Digital,2297.0
2021-07-04,iTrade,Digital,10523.0
2021-07-11,iTrade,Digital,9073.0
2021-07-18,iTrade,Digital,8356.0
2021-07-25,iTrade,Digital,0.0
2021-08-01,iTrade,Digital,12405.0
2021-08-08,iTrade,Digital,3002.0
2021-08-15,iTrade,Digital,9465.0
2021-08-22,iTrade,Digital,75850.0
2021-08-29,iTrade,Digital,57814.0
2021-09-05,iTrade,Digital,48517.0
2021-09-12,iTrade,Digital,37752.0
2021-09-19,iTrade,Digital,37317.5
2021-09-26,iTrade,Digital,36388.5
2021-10-03,iTrade,Digital,39638.0
2021-10-10,iTrade,Digital,36452.0
2021-10-17,iTrade,Digital,41757.0
2021-10-24,iTrade,Digital,31436.0
2021-10-31,iTrade,Digital,19403.14
2021-11-07,iTrade,Digital,4637.142222
2021-11-14,iTrade,Digital,4637.142222
2021-11-21,iTrade,Digital,4637.142222
2021-11-28,iTrade,Digital,4637.142222
2021-12-05,iTrade,Digital,4637.142222
2021-12-12,iTrade,Digital,15253.745
2021-12-19,iTrade,Digital,15253.745
2021-12-26,iTrade,Digital,15253.745
2022-01-02,iTrade,Digital,15253.745
2022-01-09,iTrade,Digital,29442.04
2022-01-16,iTrade,Digital,41451.52
2022-01-23,iTrade,Digital,49641.57
2022-01-30,iTrade,Digital,7624.98
2022-02-06,iTrade,Digital,53660.88
2022-02-13,iTrade,Digital,30943.15
2022-02-20,iTrade,Digital,36185.91
2022-02-27,iTrade,Digital,22709.62
2022-03-06,iTrade,Digital,20963.72
2022-03-13,iTrade,Digital,49976.66
2022-03-20,iTrade,Digital,19286.82
2022-03-27,iTrade,Digital,18319.0
2022-04-03,iTrade,Digital,2831.83
2022-04-10,iTrade,Digital,2790.48
2022-04-17,iTrade,Digital,3628.28
2022-04-24,iTrade,Digital,11222.39
2020-05-24,iTrade,Radio,6150.0
2020-05-31,iTrade,Radio,6350.0
2020-06-07,iTrade,Radio,6200.0
2020-06-14,iTrade,Radio,6250.0
2020-06-21,iTrade,Radio,6250.0
2020-06-28,iTrade,Radio,6250.0
2020-07-05,iTrade,Radio,6100.0
2020-07-12,iTrade,Radio,6450.0
2020-07-19,iTrade,Radio,6200.0
2020-07-26,iTrade,Radio,6250.0
2020-08-02,iTrade,Radio,6250.0
2020-08-09,iTrade,Radio,6200.0
2020-08-16,iTrade,Radio,6200.0
2020-08-23,iTrade,Radio,150.0
2020-08-30,iTrade,Radio,0.0
2020-09-06,iTrade,Radio,0.0
2020-09-13,iTrade,Radio,0.0
2020-09-20,iTrade,Radio,0.0
2020-09-27,iTrade,Radio,0.0
2020-10-04,iTrade,Radio,0.0
2020-10-11,iTrade,Radio,0.0
2020-10-18,iTrade,Radio,0.0
2020-10-25,iTrade,Radio,0.0
2020-11-01,iTrade,Radio,0.0
2020-11-08,iTrade,Radio,0.0
2020-11-15,iTrade,Radio,0.0
2020-11-22,iTrade,Radio,0.0
2020-11-29,iTrade,Radio,0.0
2020-12-06,iTrade,Radio,0.0
2020-12-13,iTrade,Radio,0.0
2020-12-20,iTrade,Radio,0.0
2020-12-27,iTrade,Radio,0.0
2021-01-03,iTrade,Radio,0.0
2021-01-10,iTrade,Radio,0.0
2021-01-17,iTrade,Radio,0.0
2021-01-24,iTrade,Radio,0.0
2021-01-31,iTrade,Radio,0.0
2021-02-07,iTrade,Radio,0.0
2021-02-14,iTrade,Radio,0.0
2021-02-21,iTrade,Radio,0.0
2021-02-28,iTrade,Radio,0.0
2021-03-07,iTrade,Radio,0.0
2021-03-14,iTrade,Radio,0.0
2021-03-21,iTrade,Radio,0.0
2021-03-28,iTrade,Radio,0.0
2021-04-04,iTrade,Radio,0.0
2021-04-11,iTrade,Radio,0.0
2021-04-18,iTrade,Radio,0.0
2021-04-25,iTrade,Radio,0.0
2021-05-02,iTrade,Radio,0.0
2021-05-09,iTrade,Radio,0.0
2021-05-16,iTrade,Radio,0.0
2021-05-23,iTrade,Radio,0.0
2021-05-30,iTrade,Radio,0.0
2021-06-06,iTrade,Radio,0.0
2021-06-13,iTrade,Radio,0.0
2021-06-20,iTrade,Radio,0.0
2021-06-27,iTrade,Radio,0.0
2021-07-04,iTrade,Radio,0.0
2021-07-11,iTrade,Radio,0.0
2021-07-18,iTrade,Radio,0.0
2021-07-25,iTrade,Radio,0.0
2021-08-01,iTrade,Radio,0.0
2021-08-08,iTrade,Radio,0.0
2021-08-15,iTrade,Radio,0.0
2021-08-22,iTrade,Radio,0.0
2021-08-29,iTrade,Radio,0.0
2021-09-05,iTrade,Radio,0.0
2021-09-12,iTrade,Radio,0.0
2021-09-19,iTrade,Radio,0.0
2021-09-26,iTrade,Radio,0.0
2021-10-03,iTrade,Radio,0.0
2021-10-10,iTrade,Radio,0.0
2021-10-17,iTrade,Radio,0.0
2021-10-24,iTrade,Radio,0.0
2021-10-31,iTrade,Radio,0.0
2021-11-07,iTrade,Radio,0.0
2021-11-14,iTrade,Radio,0.0
2021-11-21,iTrade,Radio,0.0
2021-11-28,iTrade,Radio,0.0
2021-12-05,iTrade,Radio,0.0
2021-12-12,iTrade,Radio,0.0
2021-12-19,iTrade,Radio,0.0
2021-12-26,iTrade,Radio,0.0
2022-01-02,iTrade,Radio,0.0
2022-01-09,iTrade,Radio,18333.0
2022-01-16,iTrade,Radio,18333.0
2022-01-23,iTrade,Radio,18333.0
2022-01-30,iTrade,Radio,18333.0
2022-02-06,iTrade,Radio,18333.0
2022-02-13,iTrade,Radio,18333.0
2022-02-20,iTrade,Radio,0.0
2022-02-27,iTrade,Radio,0.0
2022-03-06,iTrade,Radio,0.0
2022-03-13,iTrade,Radio,0.0
2022-03-20,iTrade,Radio,0.0
2022-03-27,iTrade,Radio,0.0
2022-04-03,iTrade,Radio,0.0
2022-04-10,iTrade,Radio,0.0
2022-04-17,iTrade,Radio,0.0
2022-04-24,iTrade,Radio,0.0
2022-05-01,iTrade,Radio,8912.5
2022-05-08,iTrade,Radio,8912.5
2022-05-15,iTrade,Radio,8912.5
2022-05-22,iTrade,Radio,8912.5
2022-05-29,iTrade,Radio,8912.5
2022-06-05,iTrade,Radio,8912.5
2022-06-12,iTrade,Radio,8912.5
2022-06-19,iTrade,Radio,8912.5
2022-06-26,iTrade,Radio,8912.5
2022-07-03,iTrade,Radio,8912.5
2022-07-10,iTrade,Radio,8625.0
2022-07-17,iTrade,Radio,8625.0
2022-07-24,iTrade,Radio,8625.0
2020-03-29,iTrade,Social,18049.0
2020-04-05,iTrade,Social,18093.0
2020-04-12,iTrade,Social,8925.0
2020-04-19,iTrade,Social,9062.0
2020-04-26,iTrade,Social,2652.0
2020-05-03,iTrade,Social,3652.0
2020-05-10,iTrade,Social,11042.0
2020-05-17,iTrade,Social,4544.1
2020-05-24,iTrade,Social,5553.9
2020-05-31,iTrade,Social,3736.0
2020-06-07,iTrade,Social,3028.0
2020-06-14,iTrade,Social,3987.0
2020-06-21,iTrade,Social,5199.0
2020-06-28,iTrade,Social,4374.92
2020-07-05,iTrade,Social,4350.08
2020-07-12,iTrade,Social,4355.0
2020-07-19,iTrade,Social,4482.0
2020-07-26,iTrade,Social,15015.0
2020-08-02,iTrade,Social,17362.0
2020-08-09,iTrade,Social,18722.0
2020-08-16,iTrade,Social,19980.0
2020-08-23,iTrade,Social,25956.0
2020-08-30,iTrade,Social,15188.7725
2020-09-06,iTrade,Social,15188.7725
2020-09-13,iTrade,Social,15188.7725
2020-09-20,iTrade,Social,15188.7725
2020-09-27,iTrade,Social,12533.34
2020-10-04,iTrade,Social,12533.34
2020-10-11,iTrade,Social,12533.34
2020-10-18,iTrade,Social,12533.34
2020-10-25,iTrade,Social,4782.473
2020-11-01,iTrade,Social,0.0
2020-11-08,iTrade,Social,8000.0
2020-11-15,iTrade,Social,0.0
2020-11-22,iTrade,Social,9894.0
2020-11-29,iTrade,Social,10395.0
2020-12-06,iTrade,Social,10319.0
2020-12-13,iTrade,Social,31044.0
2020-12-20,iTrade,Social,0.0
2020-12-27,iTrade,Social,0.0
2021-01-03,iTrade,Social,10620.0
2021-01-10,iTrade,Social,11285.0
2021-01-17,iTrade,Social,7795.0
2021-01-24,iTrade,Social,7997.0
2021-01-31,iTrade,Social,8090.0
2021-02-07,iTrade,Social,7935.0
2021-02-14,iTrade,Social,8393.0
2021-02-21,iTrade,Social,4391.0
2021-02-28,iTrade,Social,0.0
2021-03-07,iTrade,Social,14586.0
2021-03-14,iTrade,Social,5957.0
2021-03-21,iTrade,Social,10181.0
2021-03-28,iTrade,Social,8205.0
2021-04-04,iTrade,Social,8287.0
2021-04-11,iTrade,Social,5332.0
2021-04-18,iTrade,Social,6115.0
2021-04-25,iTrade,Social,8276.0
2021-05-02,iTrade,Social,8726.0
2021-05-09,iTrade,Social,6991.0
2021-05-16,iTrade,Social,2453.0
2021-05-23,iTrade,Social,5031.0
2021-05-30,iTrade,Social,5142.0
2021-06-06,iTrade,Social,6051.0
2021-06-13,iTrade,Social,7894.0
2021-06-20,iTrade,Social,8493.0
2021-06-27,iTrade,Social,8616.0
2021-07-04,iTrade,Social,8562.0
2021-07-11,iTrade,Social,9182.0
2021-07-18,iTrade,Social,9468.0
2021-07-25,iTrade,Social,0.0
2021-08-01,iTrade,Social,25361.0
2021-08-08,iTrade,Social,16542.0
2021-08-15,iTrade,Social,16312.0
2021-08-22,iTrade,Social,16151.0
2021-08-29,iTrade,Social,21224.0
2021-09-05,iTrade,Social,15047.0
2021-09-12,iTrade,Social,14915.0
2021-09-19,iTrade,Social,18760.0
2021-09-26,iTrade,Social,19240.0
2021-10-03,iTrade,Social,19037.0
2021-10-10,iTrade,Social,15006.0
2021-10-17,iTrade,Social,17201.0
2021-10-24,iTrade,Social,12764.0
2021-10-31,iTrade,Social,10863.0
2021-11-07,iTrade,Social,10920.0
2021-11-14,iTrade,Social,11123.0
2021-11-21,iTrade,Social,13662.0
2021-11-28,iTrade,Social,6441.0
2021-12-05,iTrade,Social,19725.0
2021-12-12,iTrade,Social,5613.5
2021-12-19,iTrade,Social,5613.5
2021-12-26,iTrade,Social,5613.5
2022-01-02,iTrade,Social,5613.5
2022-01-09,iTrade,Social,11289.0
2022-01-16,iTrade,Social,11151.0
2022-01-23,iTrade,Social,11140.0
2022-01-30,iTrade,Social,11178.0
2022-02-06,iTrade,Social,12194.0
2022-02-13,iTrade,Social,9433.0
2022-02-20,iTrade,Social,10360.0
2022-02-27,iTrade,Social,10434.0
2022-03-06,iTrade,Social,7545.0
2022-03-13,iTrade,Social,7027.0
2022-03-20,iTrade,Social,7265.0
2022-03-27,iTrade,Social,3431.86
2022-04-03,iTrade,Social,4098.14
2022-04-10,iTrade,Social,3675.0
2022-04-17,iTrade,Social,8467.0
2022-04-24,iTrade,Social,5456.0
2020-03-29,iTrade,TV,2304.0
2020-04-05,iTrade,TV,1756.0
2020-04-12,iTrade,TV,2505.0
2020-04-19,iTrade,TV,2583.0
2020-04-26,iTrade,TV,2476.0
2020-05-03,iTrade,TV,2759.0
2020-05-10,iTrade,TV,2628.0
2020-05-17,iTrade,TV,2610.0
2020-05-24,iTrade,TV,2356.0
2020-05-31,iTrade,TV,2440.0
2020-06-07,iTrade,TV,2414.0
2020-06-14,iTrade,TV,2238.0
2020-06-21,iTrade,TV,2181.0
2020-06-28,iTrade,TV,2449.0
2020-07-05,iTrade,TV,2370.0
2020-07-12,iTrade,TV,2415.0
2020-07-19,iTrade,TV,2303.0
2020-07-26,iTrade,TV,2304.0
2020-08-02,iTrade,TV,2340.0
2020-08-09,iTrade,TV,2431.0
2020-08-16,iTrade,TV,2331.0
2020-08-23,iTrade,TV,2383.0
2020-08-30,iTrade,TV,2282.0
2020-09-06,iTrade,TV,2431.0
2020-09-13,iTrade,TV,2308.0
2020-09-20,iTrade,TV,2308.0
2020-09-27,iTrade,TV,2139.0
